invoice_date,supplier_avg_amount_90d,supplier_invoice_count_30d,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,payment_term_days,is_fraud
18-04-2023,5417.982105,13,0,0,0,60,0
08-10-2023,6745.242333,6,0,0,0,30,0
24-09-2023,4950.948095,13,0,0,0,60,0
15-10-2023,3524.075116,15,0,1,0,30,1
07-06-2023,4670.320968,11,0,0,0,30,0
19-03-2023,6281.127857,10,0,0,0,30,0
10-08-2023,3583.375455,10,0,0,0,60,1
01-12-2023,5738.933488,9,0,0,0,30,0
03-01-2023,5573.19,1,0,0,1,60,0
20-07-2023,15450.87085,18,0,0,1,30,0
06-10-2023,10671.46265,14,0,0,1,60,0
27-12-2023,3570.806667,5,0,1,0,90,1
12-12-2023,3216.12225,17,0,0,0,90,0
29-11-2023,9174.13,11,0,0,1,30,0
19-12-2023,13909.77725,20,0,0,0,90,0
03-01-2023,24625.505,4,0,0,0,60,1
20-02-2023,6822.32,12,0,1,0,60,1
01-07-2023,4465.966944,12,0,0,0,30,1
11-07-2023,3112.317632,15,0,0,1,90,0
08-03-2023,26615.2081,11,0,0,0,30,1
23-04-2023,5189.073714,9,0,0,0,60,0
09-06-2023,7065.938571,18,0,1,1,60,1
12-03-2023,1586.94,13,0,0,1,30,0
03-06-2023,2946.273421,14,0,0,0,90,0
29-01-2023,6124.52,10,0,0,1,60,0
05-10-2023,4170.858049,15,0,0,0,60,0
14-06-2023,1568.047292,13,0,0,0,90,0
14-04-2023,11269.9819,12,0,0,1,60,0
07-08-2023,5637.177949,13,0,0,1,30,0
24-02-2023,5846.0376,15,0,0,1,30,0
19-06-2023,3141.356744,20,0,0,0,30,0
24-10-2023,4782.0218,20,0,0,0,60,0
16-05-2023,1620.444,10,0,0,0,60,0
01-05-2023,8751.587708,21,0,0,0,30,0
10-11-2023,19485.38627,18,0,0,0,60,0
14-08-2023,12812.30033,14,0,0,0,30,0
24-05-2023,7932.528438,14,0,0,0,60,0
11-11-2023,7567.915122,12,0,0,0,30,1
15-01-2023,10291.64429,7,0,0,0,30,0
10-09-2023,3215.5855,19,0,0,0,30,0
21-10-2023,1871.011395,18,0,0,1,30,0
12-03-2023,2505.790385,14,0,0,0,60,1
05-07-2023,1479.691143,15,0,1,1,30,1
25-12-2023,6889.060488,14,0,1,1,30,1
23-03-2023,6820.397632,17,0,0,0,90,0
26-02-2023,11993.9,13,0,0,0,30,0
29-04-2023,18947.32815,14,0,0,1,60,0
31-03-2023,12103.55778,8,0,0,0,30,0
22-08-2023,6045.4335,10,0,0,0,30,0
03-02-2023,6824.245294,17,0,0,0,60,0
16-09-2023,49078.21564,13,0,0,0,90,1
11-09-2023,7822.174857,12,0,1,0,30,1
25-03-2023,1977.174375,10,0,0,0,30,0
21-05-2023,5083.882093,12,0,0,1,30,0
26-06-2023,4574.599722,13,0,0,1,30,0
02-12-2023,4419.97,11,0,0,0,30,0
10-11-2023,6832.553529,15,0,0,1,60,0
21-11-2023,6556.834545,14,0,0,0,30,0
03-11-2023,7954.615526,13,0,0,0,30,0
15-07-2023,16255.695,14,0,0,0,60,1
07-05-2023,8370.565333,9,0,0,0,90,0
31-10-2023,9353.0945,15,0,0,0,60,0
13-10-2023,12025.71469,11,0,0,0,30,0
12-07-2023,8697.410682,13,0,0,0,30,0
05-01-2023,9155.19,2,0,0,0,60,0
17-06-2023,2252.745682,15,0,1,1,90,1
19-10-2023,39760.80129,11,0,0,0,30,1
25-03-2023,9549.333182,15,0,0,1,30,1
26-10-2023,5806.58,12,0,0,0,30,0
12-02-2023,6312.225714,9,0,0,0,30,0
02-04-2023,11847.70627,13,0,0,0,30,0
24-08-2023,5325.045,14,0,0,0,30,0
09-07-2023,3645.687222,15,0,0,0,30,0
15-01-2023,2643.967143,7,0,0,0,30,0
03-06-2023,3603.78,8,0,1,0,30,1
30-10-2023,4484.724222,14,0,0,0,30,0
21-04-2023,4494.271034,9,0,0,0,90,0
21-06-2023,3481.356897,9,0,1,1,30,1
04-02-2023,4860.329412,14,0,0,0,30,0
07-07-2023,9849.104,14,0,0,0,30,0
06-04-2023,2316.847561,16,0,0,0,30,0
23-05-2023,4118.210244,13,0,0,0,30,0
05-04-2023,7386.409655,16,0,0,0,60,0
15-08-2023,3015.855833,14,0,0,0,30,0
11-01-2023,3932.423333,3,0,0,0,30,0
14-05-2023,9200.489474,13,0,0,0,30,0
25-10-2023,3546.723684,12,0,0,1,30,0
